Year,State,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5
2012-13,Mizoram,1421,748,0,1066,0,955,1322,0,3788,0,93,192,0,254,0,3,7,0,14,0
2012-13,Nagaland,3954,973,371,421,23,2315,1270,1129,986,284,228,135,599,144,336,21,7,14,12,18
2012-13,Odisha,29821,25053,687,2274,83,29437,42590,580,5949,181,4001,6959,726,1086,304,380,458,46,59,24
2012-13,Puducherry,367,312,295,1,33,747,603,1297,2,363,313,361,1458,12,1050,20,76,245,1,234
2012-13,Punjab,6900,4188,3034,990,1232,16154,8150,17222,3535,7870,20378,4936,21547,6055,21976,764,221,1062,344,1398
2012-13,Rajasthan,24859,32692,5741,85,2132,41275,110536,35227,352,10808,26256,75069,21101,394,17737,268,901,337,6,274
2012-13,Sikkim,1597,1019,324,0,3,816,1533,829,8,66,92,283,695,5,35,8,8,39,0,0
2012-13,Tamil Nadu,44732,15748,8803,81,7442,47564,28267,50096,407,37087,21967,21365,40501,214,62369,2004,2663,5916,22,22852
2012-13,Tripura,1469,941,725,4,14,968,6874,3455,19,612,233,513,4388,14,1133,9,8,63,0,9
2012-13,Uttarakhand,5741,818,987,1876,1866,12253,2457,1192,4257,2314,16331,2937,2948,6474,13541,274,53,67,50,340
2012-13,Uttar Pradesh,70394,9475,3137,42264,9574,153739,29604,5677,71159,12601,129160,17282,14931,65786,42859,4275,449,417,1590,918
2012-13,West Bengal,70127,1821,864,294,1279,93955,5635,6476,17229,61112,15931,1438,5262,7918,68544,1178,139,288,138,1827
2013-14,Andaman & Nicobar Island,562,312,306,0,31,208,332,550,0,139,87,145,679,0,242,3,10,81,0,27
2013-14,Andhra Pradesh,28411,12120,139,5,57,111772,63735,1582,23,262,43495,24221,3387,15,2888,829,658,198,0,168
2013-14,Arunanchal Pradesh,2398,2676,121,80,45,2210,4761,670,211,421,247,901,587,42,620,9,25,16,1,10
2013-14,Assam,42129,6249,268,35878,1005,28758,8999,1452,33551,10286,2573,934,981,2586,6502,177,128,66,312,186
2013-14,Bihar,71093,94272,703,570,58,36336,83283,1617,907,206,8608,38225,2752,510,668,1086,2318,219,30,68
2013-14,Chandigarh,11,21,91,0,2,106,236,1207,0,26,66,246,3276,0,151,5,14,329,0,23
2013-14,Chhattisgarh,41691,6806,2279,864,105,27960,5574,5472,18294,582,25973,3250,7832,28181,1553,246,82,149,163,36
2013-14,Dadara & Nagar Havelli,146,243,19,0,0,157,368,161,3,9,45,204,107,0,14,1,4,9,0,0
2013-14,Daman & Diu,62,21,59,14,24,72,20,105,39,52,38,12,63,32,94,0,0,4,2,1
2013-14,Delhi,6446,837,2263,4,111,12435,4214,19763,161,5236,7101,2904,38223,349,16433,487,122,2452,19,1114
2013-14,Goa,485,70,30,2,5,1307,238,203,55,35,286,94,210,19,111,4,1,15,0,6
2013-14,Gujarat,11926,59979,4487,578,343,4493,51106,12734,1263,1003,1910,32953,10551,862,1536,54,1111,365,29,46
2013-14,Haryana,6693,2126,2341,643,1205,18764,8845,16526,3538,7537,11989,5179,22303,4947,20476,425,173,1196,377,2602
2013-14,Himachal Pradesh,4737,839,722,922,1047,7452,2561,3273,2300,4088,5185,2056,5211,2476,13873,207,76,312,144,1563
2013-14,Jammu & Kashmir,12167,14901,739,115,83,13310,29636,4783,349,430,7511,16132,4613,358,1286,160,405,136,9,73
2013-14,Jharkhand,4140,8699,694,20,78,6827,18993,4257,93,885,2244,8327,4456,39,1647,116,350,357,0,109
2013-14,Karnataka,32019,95798,1640,530,314,8731,26347,4935,271,213,2146,8174,3959,76,322,1281,4459,607,38,50
2013-14,Kerala,15109,9845,3737,1492,4380,25284,26439,24025,3093,25996,3184,5842,24129,710,29319,130,247,1147,20,1401
2013-14,Lakshadweep,24,26,7,1,0,35,40,44,5,84,14,18,56,8,100,0,1,1,0,1
2013-14,Madhya Pradesh,84551,34137,4728,4044,135,82577,51714,18266,33933,655,55156,19460,17520,47543,1186,799,963,513,671,39
2013-14,Maharashtra,44003,54512,1655,59,14206,54870,81952,7515,126,57234,14739,25123,6811,73,36568,163,326,248,2,758
2013-14,Manipur,3945,1669,162,45,7,5677,4808,1223,271,176,934,970,1123,35,426,47,51,64,2,32
2013-14,Meghalaya,9544,420,48,5775,129,4081,485,415,4139,712,322,52,330,358,757,13,2,22,15,26
2013-14,Mizoram,1438,1063,1,983,0,996,1806,1,3989,0,99,229,0,287,0,1,8,0,9,0
2013-14,Nagaland,4383,1334,387,332,27,2861,1670,1316,1360,333,332,292,709,403,409,18,12,17,10,23
2013-14,Odisha,23049,20031,114,1867,33,25234,39203,911,5169,203,3471,6320,898,954,329,272,390,64,41,43
2013-14,PONDICHERRY,279,202,361,0,21,741,463,1375,0,349,331,326,1578,0,1079,19,68,284,0,259
2013-14,Punjab,6362,4576,3196,868,1255,16047,10339,20085,3352,8239,21368,6685,26521,6439,23230,794,264,1313,371,1558
2013-14,Rajasthan,29496,32475,5320,82,2285,48660,111689,37017,370,12922,30397,74343,24197,450,21745,338,887,468,6,372
2013-14,Sikkim,1658,1059,359,0,3,885,1659,953,8,40,100,312,808,5,44,10,7,41,0,3
2013-14,Tamil Nadu,45421,16387,9816,64,7612,52224,29911,59675,381,40921,23897,22994,49911,193,70031,2135,2842,7263,20,25094
2013-14,Tripura,1445,954,747,1,9,1053,6840,3614,3,590,250,524,4645,20,1227,7,7,61,0,10
2013-14,Uttarakhand,5051,829,152,1685,276,12325,3156,1416,4144,1678,17697,3824,3654,6637,17622,288,62,84,59,439
2013-14,Uttar Pradesh,58174,8112,1602,33854,3087,147148,30937,6770,69073,14872,134272,20496,17974,71047,54416,4150,485,539,1727,1478
2013-14,West Bengal,68935,1957,777,298,994,96353,6133,6235,16752,53674,17504,1725,5470,8236,64083,1155,147,267,128,1721
2014-15,Andaman & Nicobar Island,543,295,310,1,30,145,332,530,6,160,55,157,651,1,257,7,11,74,0,25
2014-15,Andhra Pradesh,14172,5984,93,0,39,60375,36398,1076,7,219,26356,14608,2065,6,1573,415,330,132,0,100
2014-15,Arunanchal Pradesh,815,1184,78,6,44,757,2290,497,11,329,115,530,493,4,534,2,16,14,0,4
2014-15,Assam,35245,6070,270,34735,902,14108,8578,1573,30333,8995,999,790,1147,1431,6261,119,129,82,299,216
2014-15,Bihar,49803,63869,1471,459,60,29771,65293,2361,726,227,7365,34071,2915,460,687,773,1864,253,28,68
2014-15,Chandigarh,11,12,78,0,0,83,106,946,0,23,51,160,2500,0,134,6,5,261,0,22
2014-15,Chhattisgarh,39140,6645,2067,579,79,30610,5740,5768,17864,529,30587,3345,8671,30886,1959,193,66,140,149,46
2014-15,Dadara & Nagar Havelli,73,149,21,0,0,97,213,153,0,6,21,116,92,0,11,1,3,7,0,0
2014-15,Daman & Diu,68,20,53,30,12,71,19,118,66,7,24,10,61,62,41,0,0,4,1,2
2014-15,Delhi,3987,1300,1262,2,80,10363,4773,16255,84,2908,6445,3159,33870,222,12731,386,115,2166,13,998
2014-15,Goa,439,55,25,1,5,1147,249,219,34,32,244,77,158,7,76,2,0,8,0,4
2014-15,Gujarat,11219,54678,3225,499,299,3875,50262,10469,1212,927,1575,33517,8505,896,1487,39,1098,296,30,47
2014-15,Haryana,5580,1856,2108,598,1024,14940,7337,14488,2396,6047,9106,4550,21071,3871,22724,254,130,1071,256,3954
2014-15,Himachal Pradesh,4133,592,500,431,713,6248,1792,2291,1355,2987,4117,1537,4086,1352,9992,167,51,269,90,1098
2014-15,Jammu & Kashmir,8853,12013,766,81,72,10362,25976,4578,183,397,5921,15034,4446,178,1208,131,340,141,6,67
2014-15,Jharkhand,3304,7441,482,28,38,6067,17467,4011,205,375,2196,8082,4425,160,993,78,283,330,11,86
2014-15,Karnataka,31184,91910,9182,525,331,6795,19474,1968,258,111,1910,6602,2013,75,247,958,3478,501,39,32
2014-15,Kerala,20264,11892,4714,1468,3800,15786,20742,23407,2967,19437,3012,5502,24218,677,21593,115,216,1127,17,1031
2014-15,Lakshadweep,24,21,11,3,10,30,23,42,7,105,11,20,39,6,108,0,0,0,0,1
2014-15,Madhya Pradesh,80817,31212,4985,3369,161,81775,50245,21167,31968,745,54193,17962,23045,46597,1629,769,893,625,667,60
2014-15,Maharashtra,44128,53007,1778,32,13764,55359,82543,8342,133,56089,14671,25719,7444,53,36093,150,337,284,1,703
2014-15,Manipur,3688,815,92,17,4,5316,3046,699,108,161,963,708,403,17,283,42,30,56,1,6
2014-15,Meghalaya,4695,296,28,2617,74,2738,372,282,1957,401,265,53,308,191,417,8,2,19,8,9
2014-15,Mizoram,728,5,0,588,0,638,40,0,2203,0,73,9,0,92,0,0,3,0,6,0
2014-15,Nagaland,3073,2245,392,109,64,2111,2687,1346,425,497,213,599,743,80,472,9,18,20,2,19
2014-15,Odisha,18204,17286,150,1770,45,21752,36674,1607,4930,240,2780,5496,1547,784,386,146,233,142,20,41
2014-15,Puducherry,269,163,295,0,17,801,436,1451,4,297,353,331,1745,2,978,22,72,321,0,262
