YEAR,STATE,arts_c11_b,sci_c11_b,com_c11_b,voc_c11_b,oth_c11_b,arts_c11_g,sci_c11_g,com_c11_g,voc_c11_g,oth_c11_g,Total_11,arts_c12_b,sci_c12_b,com_c12_b,voc_c12_b,oth_c12_b,arts_c12_g,sci_c12_g,com_c12_g,voc_c12_g,oth_c12_g,Total_12
2016-17,Uttarakhand,34282,31489,7863,204,357,44519,19967,4703,114,8,142823,31130,32637,6665,246,207,45972,20479,4103,290,10,140986
2016-17,Haryana,86636,56393,37554,120,22,77487,33877,30698,155,5,322645,68357,55249,33452,39,0,61172,32917,29568,102,0,280715
2016-17,Delhi,61729,34106,39488,2760,0,74090,19850,27905,6311,0,257168,50916,29044,32649,2069,0,63225,17106,25305,5252,0,218245
2016-17,Rajasthan,285968,142687,33916,1113,1847,247620,67787,19462,502,958,797440,321948,147007,35652,826,1596,267075,64098,20864,568,1023,856644
2016-17,Uttar Pradesh,663787,497117,42301,12218,203784,763390,235707,24168,9993,174718,2226470,566062,398957,36060,9798,178754,715534,199285,22147,9401,165393,1938045
2016-17,Bihar,65690,99675,9211,1296,1905,75553,44549,5353,741,2438,300031,89584,129457,13017,1742,1863,129950,69099,6499,870,2578,437606
2016-17,Sikkim,848,381,284,160,11,1249,546,320,153,9,3628,511,284,197,300,0,965,432,217,233,0,2606
2016-17,Arunanchal Pradesh,4680,1437,615,0,0,4879,1418,433,0,0,13462,5497,1141,338,0,0,5849,1112,231,0,0,14168
2016-17,Nagaland,5282,1319,879,0,10,5446,1292,510,0,38,14728,4215,1269,618,0,48,4733,1146,386,0,154,12367
2016-17,Manipur,4163,11103,352,0,0,4186,10176,255,0,1,30235,3201,10299,310,0,0,3221,9621,222,0,0,26874
2016-17,Mizoram,3930,1107,316,209,0,4282,1108,271,198,0,11014,3791,1027,250,144,0,4211,966,218,137,0,10463
2016-17,Tripura,10627,2583,977,0,6,10480,1763,258,0,0,26688,10246,2453,915,0,11,10109,1660,227,0,0,25610
2016-17,Meghalaya,8703,2170,1577,0,0,10888,2218,978,0,0,26534,7704,1952,1513,3,0,9549,2007,873,3,0,23598
2016-17,Assam,73569,13766,7900,586,520,82515,7445,3794,285,350,188989,67790,13163,7350,511,353,71907,7033,3431,224,230,170674
2016-17,West Bengal,249548,36005,20023,10959,2833,307436,24220,7513,3526,2756,644745,207141,34629,17008,9520,2370,244749,21432,6558,3196,2350,531517
2016-17,Jharkhand,39345,32612,14296,363,30,52937,14765,12254,273,93,166209,35319,26979,12519,208,39,45728,13863,12309,243,96,146717
2016-17,Odisha,66097,18026,4736,893,546,70810,14054,2900,528,95,176623,66838,17111,5465,853,617,70241,13028,3389,654,160,176072
2016-17,Chhattisgarh,42263,51714,20245,3807,5900,56406,55076,17928,2542,4092,243632,40889,57886,21706,4059,6025,51391,55685,17352,2517,3732,244909
2016-17,Madhya Pradesh,89792,169668,68010,3415,30955,104247,136996,56524,1620,18339,625237,77357,182185,65468,3450,31674,88695,133189,53201,1542,16681,600095
2016-17,Gujarat,85286,83745,102340,763,2392,86123,51175,80611,875,1916,489280,66595,82900,96673,727,2115,67102,50481,80908,769,1708,444659
2016-17,Daman & Diu,171,246,210,41,0,279,166,165,19,0,1237,68,201,167,30,0,180,137,159,16,0,912
2016-17,Dadara & Nagar Havelli,578,475,662,0,0,487,403,530,0,0,3135,855,494,604,0,0,824,519,575,0,0,3871
2016-17,Maharashtra,252717,304714,172800,27999,6840,237409,232655,162041,11447,5860,1362336,264102,289178,161196,26856,6606,243130,215177,155493,11480,5933,1328276
2016-17,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Karnataka,99830,47344,46999,82,1942,98816,49422,53505,98,866,395916,76487,37981,36226,60,1226,81280,40063,44423,65,804,316460
2016-17,Goa,1369,2996,3144,2311,16,3229,3171,2686,899,11,16595,1054,2671,2616,1953,10,2800,2724,2549,863,4,14414
2016-17,Lakshadweep,276,150,48,0,0,226,281,47,0,0,1028,284,175,56,0,0,330,389,55,0,0,1289
2016-17,Kerala,33805,74200,44453,10755,3035,37415,85903,43817,8683,2526,319593,32153,70702,41426,10313,2773,35682,82427,42959,8494,2571,305349
2016-17,Tamil Nadu,44403,247269,87823,40256,4427,50974,288288,103007,26930,4871,821764,39289,254454,77765,37131,4425,46915,299906,94277,25719,5640,812606
2016-17,Puducherry,290,4199,1832,499,31,253,4892,2161,303,11,13627,246,4429,1458,391,2,268,5159,1805,251,1,13365
2016-17,Andaman & Nicobar Island,2039,685,358,21,0,1780,754,353,11,0,5969,1182,543,325,17,0,1434,666,325,4,0,4475
2016-17,Telangana,48542,52814,27413,12600,424,50612,65488,24809,8697,411,269678,45411,48312,25552,10153,514,47301,61217,23914,7698,528,251707
