Year,State,PTMG,PTFG,PTMP,PTFP
2016-17,MADHYA PRADESH,97.3534442,96.7136989,52.2761849,48.6961138
2016-17,MAHARASHTRA,99.6677476,99.8522514,99.2347635,98.0778989
2016-17,MANIPUR,55.5027624,59.3954605,29.5091009,29.585533
2016-17,MEGHALAYA,55.4790749,60.2463942,31.0037969,29.8162939
2016-17,MIZORAM,99.2069046,99.4177584,19.203023,14.2035051
2016-17,NAGALAND,36.8426265,40.1655825,23.8745801,22.9051117
2016-17,ODISHA,96.3127276,97.0142493,74.3879067,55.0641026
2016-17,PUDUCHERRY,100,99.9665328,99.6405033,99.9208986
2016-17,PUNJAB,99.7011729,99.3339388,88.1173268,84.3354214
2016-17,RAJASTHAN,98.3978134,98.4193573,90.9805728,88.2200865
2016-17,SIKKIM,66.1407767,64.8400474,29.5348837,26.8630849
2016-17,TAMIL NADU,99.5968245,99.2051643,98.5137018,95.8707414
2016-17,TELANGANA,99.9972008,99.9794158,96.9065641,95.519281
2016-17,TRIPURA,45.8482161,47.7348903,29.5848823,31.0641347
2016-17,UTTAR PRADESH,92.532729,89.478095,71.4899233,65.9513359
2016-17,UTTARAKHAND,97.322642,97.1732497,78.4592145,70.5858255
2016-17,WEST BENGAL,71.7278789,71.9708599,24.0319029,25.7404237
