year,grade,total,girls,boys,x,State
2013-14,8,468343,209350,258993,haryana,HARYANA
2016-17,1,117775,55920,61855,himachal pradesh,HIMACHAL PRADESH
2016-17,2,117149,56314,60835,himachal pradesh,HIMACHAL PRADESH
2016-17,3,115811,55576,60235,himachal pradesh,HIMACHAL PRADESH
2016-17,4,113363,53876,59487,himachal pradesh,HIMACHAL PRADESH
2016-17,5,111768,52816,58952,himachal pradesh,HIMACHAL PRADESH
2016-17,6,117986,55666,62320,himachal pradesh,HIMACHAL PRADESH
2016-17,7,122314,58195,64119,himachal pradesh,HIMACHAL PRADESH
2016-17,8,124508,59071,65437,himachal pradesh,HIMACHAL PRADESH
2015-16,1,118799,56914,61885,himachal pradesh,HIMACHAL PRADESH
2015-16,2,116754,56249,60505,himachal pradesh,HIMACHAL PRADESH
2015-16,3,114047,54495,59552,himachal pradesh,HIMACHAL PRADESH
2015-16,4,112502,53153,59349,himachal pradesh,HIMACHAL PRADESH
2015-16,5,119011,56365,62646,himachal pradesh,HIMACHAL PRADESH
2015-16,6,122692,58336,64356,himachal pradesh,HIMACHAL PRADESH
2015-16,7,125153,59576,65577,himachal pradesh,HIMACHAL PRADESH
2015-16,8,121808,57629,64179,himachal pradesh,HIMACHAL PRADESH
2014-15,1,117639,56424,61215,himachal pradesh,HIMACHAL PRADESH
2014-15,2,114093,54545,59548,himachal pradesh,HIMACHAL PRADESH
2014-15,3,113088,53727,59361,himachal pradesh,HIMACHAL PRADESH
2014-15,4,119252,56622,62630,himachal pradesh,HIMACHAL PRADESH
2014-15,5,124689,59627,65062,himachal pradesh,HIMACHAL PRADESH
2014-15,6,125456,59731,65725,himachal pradesh,HIMACHAL PRADESH
2014-15,7,122101,57986,64115,himachal pradesh,HIMACHAL PRADESH
2014-15,8,122413,57756,64657,himachal pradesh,HIMACHAL PRADESH
2013-14,1,114687,54693,59994,himachal pradesh,HIMACHAL PRADESH
2013-14,2,112683,53518,59165,himachal pradesh,HIMACHAL PRADESH
2013-14,3,119496,56690,62806,himachal pradesh,HIMACHAL PRADESH
2013-14,4,125007,59757,65250,himachal pradesh,HIMACHAL PRADESH
2013-14,5,127198,60419,66779,himachal pradesh,HIMACHAL PRADESH
2013-14,6,122618,58181,64437,himachal pradesh,HIMACHAL PRADESH
2013-14,7,122564,57893,64671,himachal pradesh,HIMACHAL PRADESH
2013-14,8,124842,58287,66555,himachal pradesh,HIMACHAL PRADESH
2016-17,1,246925,117204,129721,jammu & kashmir,JAMMU & KASHMIR
2016-17,2,230173,109295,120878,jammu & kashmir,JAMMU & KASHMIR
2016-17,3,216431,102429,114002,jammu & kashmir,JAMMU & KASHMIR
2016-17,4,214292,101428,112864,jammu & kashmir,JAMMU & KASHMIR
2016-17,5,212023,100472,111551,jammu & kashmir,JAMMU & KASHMIR
2016-17,6,197789,93485,104304,jammu & kashmir,JAMMU & KASHMIR
2016-17,7,190589,89957,100632,jammu & kashmir,JAMMU & KASHMIR
2016-17,8,184837,86372,98465,jammu & kashmir,JAMMU & KASHMIR
2015-16,1,300528,143926,156602,jammu & kashmir,JAMMU & KASHMIR
2015-16,2,247737,117978,129759,jammu & kashmir,JAMMU & KASHMIR
2015-16,3,240351,114864,125487,jammu & kashmir,JAMMU & KASHMIR
2015-16,4,235151,112619,122532,jammu & kashmir,JAMMU & KASHMIR
2015-16,5,225286,107642,117644,jammu & kashmir,JAMMU & KASHMIR
2015-16,6,210355,100578,109777,jammu & kashmir,JAMMU & KASHMIR
2015-16,7,200631,95389,105242,jammu & kashmir,JAMMU & KASHMIR
2015-16,8,196737,93203,103534,jammu & kashmir,JAMMU & KASHMIR
2014-15,1,293789,139698,154091,jammu & kashmir,JAMMU & KASHMIR
2014-15,2,251464,119817,131647,jammu & kashmir,JAMMU & KASHMIR
2014-15,3,243874,116564,127310,jammu & kashmir,JAMMU & KASHMIR
2014-15,4,230618,110087,120531,jammu & kashmir,JAMMU & KASHMIR
2014-15,5,224178,106858,117320,jammu & kashmir,JAMMU & KASHMIR
2014-15,6,205632,97842,107790,jammu & kashmir,JAMMU & KASHMIR
2014-15,7,199954,94915,105039,jammu & kashmir,JAMMU & KASHMIR
2014-15,8,203537,96380,107157,jammu & kashmir,JAMMU & KASHMIR
2013-14,1,285555,136035,149520,jammu & kashmir,JAMMU & KASHMIR
2013-14,2,254463,121448,133015,jammu & kashmir,JAMMU & KASHMIR
2013-14,3,238709,113902,124807,jammu & kashmir,JAMMU & KASHMIR
2013-14,4,228327,108923,119404,jammu & kashmir,JAMMU & KASHMIR
2013-14,5,216408,102759,113649,jammu & kashmir,JAMMU & KASHMIR
2013-14,6,203292,96688,106604,jammu & kashmir,JAMMU & KASHMIR
2013-14,7,203246,96490,106756,jammu & kashmir,JAMMU & KASHMIR
